alpha, regularization, latent_features, learning_rate, NDCG
10000000000.0, 1e-07, 300, 1, 1e-10, nan
10000000000.0, 1e-07, 300, 1, 1e-11, nan
10000000000.0, 1e-07, 500, 1, 1e-08, nan
10000000000.0, 1e-07, 500, 1, 1e-09, nan
10000000000.0, 1e-07, 500, 1, 1e-10, nan
10000000000.0, 1e-07, 500, 1, 1e-11, nan
10000000000.0, 1e-08, 50, 1, 1e-08, nan
10000000000.0, 1e-08, 50, 1, 1e-09, nan
10000000000.0, 1e-08, 50, 1, 1e-10, nan
10000000000.0, 1e-08, 50, 1, 1e-11, nan
10000000000.0, 1e-08, 75, 1, 1e-08, nan
10000000000.0, 1e-08, 75, 1, 1e-09, nan
10000000000.0, 1e-08, 75, 1, 1e-10, nan
10000000000.0, 1e-08, 75, 1, 1e-11, nan
10000000000.0, 1e-08, 100, 1, 1e-08, nan
10000000000.0, 1e-08, 100, 1, 1e-09, nan
10000000000.0, 1e-08, 100, 1, 1e-10, nan
10000000000.0, 1e-08, 100, 1, 1e-11, nan
10000000000.0, 1e-08, 200, 1, 1e-08, nan
10000000000.0, 1e-08, 200, 1, 1e-09, nan
10000000000.0, 1e-08, 200, 1, 1e-10, nan
10000000000.0, 1e-08, 200, 1, 1e-11, nan
10000000000.0, 1e-08, 300, 1, 1e-08, nan
10000000000.0, 1e-08, 300, 1, 1e-09, nan
10000000000.0, 1e-08, 300, 1, 1e-10, nan
10000000000.0, 1e-08, 300, 1, 1e-11, nan
10000000000.0, 1e-08, 500, 1, 1e-08, nan
10000000000.0, 1e-08, 500, 1, 1e-09, nan
10000000000.0, 1e-08, 500, 1, 1e-10, nan
10000000000.0, 1e-08, 500, 1, 1e-11, nan
10000000000.0, 1e-09, 50, 1, 1e-08, nan
10000000000.0, 1e-09, 50, 1, 1e-09, nan
10000000000.0, 1e-09, 50, 1, 1e-10, nan
10000000000.0, 1e-09, 50, 1, 1e-11, nan
10000000000.0, 1e-09, 75, 1, 1e-08, nan
10000000000.0, 1e-09, 75, 1, 1e-09, nan
10000000000.0, 1e-09, 75, 1, 1e-10, nan
10000000000.0, 1e-09, 75, 1, 1e-11, nan
10000000000.0, 1e-09, 100, 1, 1e-08, nan
10000000000.0, 1e-09, 100, 1, 1e-09, nan
10000000000.0, 1e-09, 100, 1, 1e-10, nan
10000000000.0, 1e-09, 100, 1, 1e-11, nan
10000000000.0, 1e-09, 200, 1, 1e-08, nan
10000000000.0, 1e-09, 200, 1, 1e-09, nan
10000000000.0, 1e-09, 200, 1, 1e-10, nan
10000000000.0, 1e-09, 200, 1, 1e-11, nan
10000000000.0, 1e-09, 300, 1, 1e-08, nan
10000000000.0, 1e-09, 300, 1, 1e-09, nan
10000000000.0, 1e-09, 300, 1, 1e-10, nan
10000000000.0, 1e-09, 300, 1, 1e-11, nan
10000000000.0, 1e-09, 500, 1, 1e-08, nan
10000000000.0, 1e-09, 500, 1, 1e-09, nan
10000000000.0, 1e-09, 500, 1, 1e-10, nan
10000000000.0, 1e-09, 500, 1, 1e-11, nan
10000000000.0, 1e-10, 50, 1, 1e-08, nan
10000000000.0, 1e-10, 50, 1, 1e-09, nan
10000000000.0, 1e-10, 50, 1, 1e-10, nan
10000000000.0, 1e-10, 50, 1, 1e-11, nan
10000000000.0, 1e-10, 75, 1, 1e-08, nan
10000000000.0, 1e-10, 75, 1, 1e-09, nan
10000000000.0, 1e-10, 75, 1, 1e-10, nan
10000000000.0, 1e-10, 75, 1, 1e-11, nan
10000000000.0, 1e-10, 100, 1, 1e-08, nan
10000000000.0, 1e-10, 100, 1, 1e-09, nan
10000000000.0, 1e-10, 100, 1, 1e-10, nan
10000000000.0, 1e-10, 100, 1, 1e-11, nan
10000000000.0, 1e-10, 200, 1, 1e-08, nan
10000000000.0, 1e-10, 200, 1, 1e-09, nan
10000000000.0, 1e-10, 200, 1, 1e-10, nan
10000000000.0, 1e-10, 200, 1, 1e-11, nan
10000000000.0, 1e-10, 300, 1, 1e-08, nan
10000000000.0, 1e-10, 300, 1, 1e-09, nan
10000000000.0, 1e-10, 300, 1, 1e-10, nan
10000000000.0, 1e-10, 300, 1, 1e-11, nan
10000000000.0, 1e-10, 500, 1, 1e-08, nan
10000000000.0, 1e-10, 500, 1, 1e-09, nan
10000000000.0, 1e-10, 500, 1, 1e-10, nan
10000000000.0, 1e-10, 500, 1, 1e-11, nan
1000000000.0, 0.001, 50, 1, 1e-08, nan
1000000000.0, 0.001, 50, 1, 1e-09, nan
1000000000.0, 0.001, 50, 1, 1e-10, nan
1000000000.0, 0.001, 50, 1, 1e-11, nan
1000000000.0, 0.001, 75, 1, 1e-08, nan
1000000000.0, 0.001, 75, 1, 1e-09, nan
1000000000.0, 0.001, 75, 1, 1e-10, nan
1000000000.0, 0.001, 75, 1, 1e-11, nan
1000000000.0, 0.001, 100, 1, 1e-08, nan
1000000000.0, 0.001, 100, 1, 1e-09, nan
1000000000.0, 0.001, 100, 1, 1e-10, nan
1000000000.0, 0.001, 100, 1, 1e-11, nan
1000000000.0, 0.001, 200, 1, 1e-08, nan
1000000000.0, 0.001, 200, 1, 1e-09, nan
1000000000.0, 0.001, 200, 1, 1e-10, nan
1000000000.0, 0.001, 200, 1, 1e-11, nan
1000000000.0, 0.001, 300, 1, 1e-08, nan
1000000000.0, 0.001, 300, 1, 1e-09, nan
1000000000.0, 0.001, 300, 1, 1e-10, nan
1000000000.0, 0.001, 300, 1, 1e-11, nan
1000000000.0, 0.001, 500, 1, 1e-08, nan
1000000000.0, 0.001, 500, 1, 1e-09, nan
1000000000.0, 0.001, 500, 1, 1e-10, nan
1000000000.0, 0.001, 500, 1, 1e-11, nan
1000000000.0, 0.0001, 50, 1, 1e-08, nan
1000000000.0, 0.0001, 50, 1, 1e-09, nan
1000000000.0, 0.0001, 50, 1, 1e-10, nan
1000000000.0, 0.0001, 50, 1, 1e-11, nan
1000000000.0, 0.0001, 75, 1, 1e-08, nan
1000000000.0, 0.0001, 75, 1, 1e-09, nan
1000000000.0, 0.0001, 75, 1, 1e-10, nan
1000000000.0, 0.0001, 75, 1, 1e-11, nan
1000000000.0, 0.0001, 100, 1, 1e-08, nan
1000000000.0, 0.0001, 100, 1, 1e-09, nan
1000000000.0, 0.0001, 100, 1, 1e-10, nan
1000000000.0, 0.0001, 100, 1, 1e-11, nan
1000000000.0, 0.0001, 200, 1, 1e-08, nan
1000000000.0, 0.0001, 200, 1, 1e-09, nan
1000000000.0, 0.0001, 200, 1, 1e-10, nan
1000000000.0, 0.0001, 200, 1, 1e-11, nan
1000000000.0, 0.0001, 300, 1, 1e-08, nan
1000000000.0, 0.0001, 300, 1, 1e-09, nan
1000000000.0, 0.0001, 300, 1, 1e-10, nan
1000000000.0, 0.0001, 300, 1, 1e-11, nan
1000000000.0, 0.0001, 500, 1, 1e-08, nan
1000000000.0, 0.0001, 500, 1, 1e-09, nan
1000000000.0, 0.0001, 500, 1, 1e-10, nan
1000000000.0, 0.0001, 500, 1, 1e-11, nan
1000000000.0, 1e-05, 50, 1, 1e-08, nan
1000000000.0, 1e-05, 50, 1, 1e-09, nan
1000000000.0, 1e-05, 50, 1, 1e-10, nan
1000000000.0, 1e-05, 50, 1, 1e-11, nan
1000000000.0, 1e-05, 75, 1, 1e-08, nan
1000000000.0, 1e-05, 75, 1, 1e-09, nan
1000000000.0, 1e-05, 75, 1, 1e-10, nan
1000000000.0, 1e-05, 75, 1, 1e-11, nan
1000000000.0, 1e-05, 100, 1, 1e-08, nan
1000000000.0, 1e-05, 100, 1, 1e-09, nan
1000000000.0, 1e-05, 100, 1, 1e-10, nan
1000000000.0, 1e-05, 100, 1, 1e-11, nan
1000000000.0, 1e-05, 200, 1, 1e-08, nan
1000000000.0, 1e-05, 200, 1, 1e-09, nan
1000000000.0, 1e-05, 200, 1, 1e-10, nan
1000000000.0, 1e-05, 200, 1, 1e-11, nan
1000000000.0, 1e-05, 300, 1, 1e-08, nan
1000000000.0, 1e-05, 300, 1, 1e-09, nan
1000000000.0, 1e-05, 300, 1, 1e-10, nan
1000000000.0, 1e-05, 300, 1, 1e-11, nan
1000000000.0, 1e-05, 500, 1, 1e-08, nan
1000000000.0, 1e-05, 500, 1, 1e-09, nan
1000000000.0, 1e-05, 500, 1, 1e-10, nan
1000000000.0, 1e-05, 500, 1, 1e-11, nan
1000000000.0, 1e-06, 50, 1, 1e-08, nan
1000000000.0, 1e-06, 50, 1, 1e-09, nan
1000000000.0, 1e-06, 50, 1, 1e-10, nan
1000000000.0, 1e-06, 50, 1, 1e-11, nan
1000000000.0, 1e-06, 75, 1, 1e-08, nan
1000000000.0, 1e-06, 75, 1, 1e-09, nan
1000000000.0, 1e-06, 75, 1, 1e-10, nan
1000000000.0, 1e-06, 75, 1, 1e-11, nan
1000000000.0, 1e-06, 100, 1, 1e-08, nan
1000000000.0, 1e-06, 100, 1, 1e-09, nan
1000000000.0, 1e-06, 100, 1, 1e-10, nan
1000000000.0, 1e-06, 100, 1, 1e-11, nan
1000000000.0, 1e-06, 200, 1, 1e-08, nan
1000000000.0, 1e-06, 200, 1, 1e-09, nan
1000000000.0, 1e-06, 200, 1, 1e-10, nan
1000000000.0, 1e-06, 200, 1, 1e-11, nan
1000000000.0, 1e-06, 300, 1, 1e-08, nan
1000000000.0, 1e-06, 300, 1, 1e-09, nan
1000000000.0, 1e-06, 300, 1, 1e-10, nan
1000000000.0, 1e-06, 300, 1, 1e-11, nan
1000000000.0, 1e-06, 500, 1, 1e-08, nan
1000000000.0, 1e-06, 500, 1, 1e-09, nan
1000000000.0, 1e-06, 500, 1, 1e-10, nan
1000000000.0, 1e-06, 500, 1, 1e-11, nan
1000000000.0, 1e-07, 50, 1, 1e-08, nan
1000000000.0, 1e-07, 50, 1, 1e-09, nan
1000000000.0, 1e-07, 50, 1, 1e-10, nan
1000000000.0, 1e-07, 50, 1, 1e-11, nan
1000000000.0, 1e-07, 75, 1, 1e-08, nan
1000000000.0, 1e-07, 75, 1, 1e-09, nan
1000000000.0, 1e-07, 75, 1, 1e-10, nan
1000000000.0, 1e-07, 75, 1, 1e-11, nan
1000000000.0, 1e-07, 100, 1, 1e-08, nan
1000000000.0, 1e-07, 100, 1, 1e-09, nan
1000000000.0, 1e-07, 100, 1, 1e-10, nan
1000000000.0, 1e-07, 100, 1, 1e-11, nan
1000000000.0, 1e-07, 200, 1, 1e-08, nan
1000000000.0, 1e-07, 200, 1, 1e-09, nan
1000000000.0, 1e-07, 200, 1, 1e-10, nan
1000000000.0, 1e-07, 200, 1, 1e-11, nan
1000000000.0, 1e-07, 300, 1, 1e-08, nan
1000000000.0, 1e-07, 300, 1, 1e-09, nan
1000000000.0, 1e-07, 300, 1, 1e-10, nan
